Time,Symbol,Side,Price,Qty,P / L,Account,Type,Route,Broker,Cloid,
13:36:24,TQQQ,B,58.14,222,2.22,TRTEST1027,Margin,SMAT,,AUTO,
13:35:52,TQQQ,SS,58.15,222,0.00,TRTEST1027,Short,SMAT,,AUTO,
13:35:32,NFLX,S,612.48,23,-9.66,TRTEST1027,Margin,SMAT,,AUTO,
13:33:59,NFLX,B,612.9,23,0.00,TRTEST1027,Margin,SMAT,,AUTO,
11:25:00,TSLA,B,174.54,45,-21.15,TRPCT1027,Margin,SMAT,,AUTO,
11:21:32,TSLA,SS,174.07,45,0.00,TRPCT1027,Short,SMAT,,AUTO,
13:01:11,EBAY,B,49.7,285,-22.80,TRPCT1027,Margin,SMAT,,AUTO,
10:14:15,AAPL,B,181.9,83,-20.75,TRPCT1027,Margin,SMAT,,AUTO,
12:51:29,EBAY,SS,49.62,285,0.00,TRPCT1027,Short,SMAT,,AUTO,
10:08:45,AAPL,SS,181.65,83,0.00,TRPCT1027,Short,SMAT,,AUTO,
